City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Dsc
132,Kismayo,SO,-0.3582,42.5454,78.31,83,84,6.58,broken clouds
133,Ponta Delgada,PT,37.7333,-25.6667,64.51,88,75,6.91,broken clouds
134,Cayenne,GF,4.9333,-52.3333,77.04,94,75,0.0,broken clouds
135,Akdepe,TM,42.0551,59.3788,37.49,68,6,14.25,clear sky
136,Coihaique,CL,-45.5752,-72.0662,50.61,66,0,3.44,clear sky
137,Havoysund,NO,70.9963,24.6622,41.23,71,100,27.04,overcast clouds
138,Gopalpur,IN,19.2667,84.9167,73.11,60,0,6.55,clear sky
139,Carballo,ES,43.213,-8.691,60.49,92,100,15.93,overcast clouds
140,Nanortalik,GL,60.1432,-45.2371,30.76,89,99,8.99,overcast clouds
141,Sao Joao Da Barra,BR,-21.6403,-41.0511,74.66,91,100,14.38,moderate rain
142,Grindavik,IS,63.8424,-22.4338,41.9,100,0,9.22,clear sky
143,Portoferraio,IT,42.8115,10.3146,59.58,69,81,15.77,broken clouds
144,Jalu,LY,29.0331,21.5482,58.12,44,0,5.99,clear sky
145,Szentkiraly,HU,46.9189,19.9185,39.94,100,100,4.61,fog
146,Boa Vista,BR,2.8197,-60.6733,82.38,69,0,10.36,clear sky
147,Luderitz,NA,-26.6481,15.1594,58.3,94,6,7.61,clear sky
148,Souillac,MU,-20.5167,57.5167,71.98,60,75,9.22,broken clouds
149,Quatre Cocos,MU,-20.2078,57.7625,72.09,54,73,16.67,broken clouds
150,Epe,NG,6.5841,3.9834,76.01,88,100,3.02,overcast clouds
151,Manali,IN,13.1667,80.2667,78.89,72,99,11.14,overcast clouds
152,Paamiut,GL,61.994,-49.6678,27.75,89,97,11.5,overcast clouds
153,Kafue,ZM,-15.7691,28.1814,66.56,92,99,4.85,overcast clouds
154,Les Cayes,HT,18.2,-73.75,76.03,83,0,4.18,clear sky
155,Phalaborwa,ZA,-23.943,31.1411,62.73,84,0,4.05,clear sky
156,Vardo,NO,70.3705,31.1107,37.38,81,40,21.85,scattered clouds
157,Cidreira,BR,-30.1811,-50.2056,64.87,74,1,8.86,clear sky
158,Santa Cruz De Tenerife,ES,28.4682,-16.2546,77.29,40,0,5.01,clear sky
159,Williamsburg,US,37.2707,-76.7075,41.74,86,0,0.0,clear sky
160,Alexandru Odobescu,RO,44.2667,27.0833,48.97,72,97,3.11,overcast clouds
161,Visnes,NO,59.3556,5.2242,37.45,93,66,2.3,fog
162,Lebu,CL,-37.6167,-73.65,54.21,92,30,1.48,scattered clouds
163,Requena,ES,39.4883,-1.1004,57.52,84,99,10.74,overcast clouds
164,Chapais,CA,49.7834,-74.8492,20.98,94,100,7.43,light snow
165,Springdale,US,36.1867,-94.1288,33.71,93,100,6.91,snow
166,Togul,RU,53.465,85.9128,37.18,86,100,9.86,overcast clouds
167,Casma,CL,-41.0082,-73.1244,58.28,98,99,5.53,overcast clouds
168,Turukhansk,RU,65.8167,87.9833,-11.72,81,49,8.99,scattered clouds
169,Narsaq,GL,60.9167,-46.05,22.14,81,100,6.2,overcast clouds
170,Alcains,PT,39.9164,-7.4566,56.1,91,100,8.32,overcast clouds
171,Maralal,KE,1.0968,36.698,57.85,85,81,4.38,broken clouds
172,Ladario,BR,-19.0047,-57.6017,71.62,97,60,0.85,broken clouds
173,Cervo,ES,43.6702,-7.4101,60.33,78,100,22.82,overcast clouds
174,Belyy Yar,RU,53.6039,91.3903,28.85,76,98,4.47,smoke
175,Kachiry,KZ,53.0675,76.1036,37.33,86,100,20.07,overcast clouds
176,Kaina,NG,12.6374,8.5873,65.41,25,90,7.38,overcast clouds
177,Miranda,CO,3.2499,-76.2281,71.73,95,100,3.6,overcast clouds
178,Ormara,PK,25.2088,64.6357,79.07,62,0,4.36,clear sky
179,Oranjemund,NA,-28.55,16.4333,58.24,93,25,1.54,scattered clouds
180,Maniitsoq,GL,65.4167,-52.9,25.47,82,95,11.36,overcast clouds
181,Victoria,HK,22.2855,114.1577,81.97,78,100,5.99,overcast clouds
182,Pervomayskoye,RU,43.919,46.7102,37.71,72,5,9.1,clear sky
183,Amberieu-En-Bugey,FR,45.9589,5.3432,53.06,95,100,8.66,overcast clouds
184,Adrar,MR,20.5022,-10.0711,78.3,20,90,15.3,overcast clouds
185,Lagos,NG,6.5833,3.75,76.5,87,100,3.33,overcast clouds
186,Matiri,TZ,-10.75,34.9,62.8,54,66,2.51,broken clouds
187,Asmar,AF,35.0333,71.3581,50.09,55,2,9.01,clear sky
188,Vila Franca Do Campo,PT,37.7167,-25.4333,64.2,91,43,4.52,scattered clouds
189,Itarema,BR,-2.9248,-39.9167,79.45,74,56,13.11,broken clouds
190,Bodden Town,KY,19.2833,-81.25,82.4,78,20,10.36,few clouds
191,Talavera De La Reina,ES,39.9635,-4.8308,54.32,95,97,9.28,overcast clouds
192,Benguela,AO,-12.5763,13.4055,70.61,81,100,3.67,overcast clouds
193,Wlodawa,PL,51.55,23.55,39.67,93,91,5.1,overcast clouds
194,Husavik,IS,66.0449,-17.3389,42.15,89,100,8.28,overcast clouds
195,Sisimiut,GL,66.9395,-53.6735,21.97,92,100,11.3,light snow
196,Sovetskiy,RU,61.3614,63.5842,2.08,88,100,12.66,overcast clouds
197,Gat,IL,31.61,34.7642,66.07,100,11,2.71,few clouds
198,Hualmay,PE,-11.0964,-77.6139,63.64,85,17,7.63,few clouds
199,Quartucciu,IT,39.2519,9.1794,61.0,83,20,5.75,few clouds
200,Bandarbeyla,SO,9.4942,50.8122,76.73,73,8,13.29,clear sky
