City_ID,City,Country,Max Temp,Weather Dsc,Lat,Lng,Hotel Name
173,Cervo,ES,60.33,overcast clouds,43.6702,-7.4101,Hotel Spa Galatea
176,Kaina,NG,65.41,overcast clouds,12.6374,8.5873,
177,Miranda,CO,71.73,overcast clouds,3.2499,-76.2281,unidiversidad organica la utopia
178,Ormara,PK,79.07,clear sky,25.2088,64.6357,Kenara Colony House for Rent
181,Victoria,HK,81.97,overcast clouds,22.2855,114.1577,Mini Central
183,Amberieu-En-Bugey,FR,53.06,overcast clouds,45.9589,5.3432,Ambotel
184,Adrar,MR,78.3,overcast clouds,20.5022,-10.0711,
185,Lagos,NG,76.5,overcast clouds,6.5833,3.75,
186,Matiri,TZ,62.8,broken clouds,-10.75,34.9,
187,Asmar,AF,50.09,clear sky,35.0333,71.3581,COP Monti
188,Vila Franca Do Campo,PT,64.2,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
189,Itarema,BR,79.45,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
190,Bodden Town,KY,82.4,few clouds,19.2833,-81.25,Will T Place
191,Talavera De La Reina,ES,54.32,overcast clouds,39.9635,-4.8308,Be Live City Center Talavera
192,Benguela,AO,70.61,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
197,Gat,IL,66.07,few clouds,31.61,34.7642,OlusHome
198,Hualmay,PE,63.64,few clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
199,Quartucciu,IT,61.0,few clouds,39.2519,9.1794,Best Western Hotel Residence Italia
200,Bandarbeyla,SO,76.73,clear sky,9.4942,50.8122,JABIR HOTEL
201,Okitipupa,NG,73.85,overcast clouds,6.5047,4.7839,Coastal Hotel & Suites
202,Marsa Matruh,EG,59.2,scattered clouds,31.3525,27.2453,Beau Site
205,Estreito,BR,71.94,scattered clouds,-5.7833,-43.25,
206,Kikwit,CD,70.0,light rain,-5.041,18.8162,HOTEL PLACE YALABA
207,Turayf,SA,57.45,scattered clouds,31.6725,38.6637,Turaif
208,Diego De Almagro,CL,64.81,clear sky,-26.3667,-70.05,hotel luna del desierto
209,Rabak,SD,74.14,clear sky,13.1809,32.74,فندق ربك Rabak Hotel
211,Edgewater,US,72.09,clear sky,28.9889,-80.9023,Islander Beach Resort
213,Taoudenni,ML,75.29,overcast clouds,22.6783,-3.9836,
214,Ocean Springs,US,57.18,moderate rain,30.4113,-88.8278,Golden Nugget Biloxi Hotel & Casino
216,Jega,NG,69.85,scattered clouds,12.2175,4.3792,ALH. Nasiru Ibrahim
217,Camargo,MX,58.14,overcast clouds,27.6667,-105.1667,Hotel Santa Fe
219,Talwara,IN,64.85,clear sky,31.9486,75.8667,BBMB Rest House
221,Carnarvon,AU,84.36,clear sky,-24.8667,113.6333,Hospitality Carnarvon
222,Puerto El Triunfo,SV,77.2,overcast clouds,13.2833,-88.55,Hotel Jardin
223,Kolondieba,ML,73.36,broken clouds,11.0882,-6.8926,Park
224,Matara,LK,77.22,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
225,Buenos Aires,AR,69.53,clear sky,-34.6132,-58.3772,Hotel NH Buenos Aires City
226,Conceicao Do Araguaia,BR,75.24,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
227,Gibara,CU,78.98,clear sky,21.1097,-76.1317,Sol y Mar
228,Magaria,NE,66.09,overcast clouds,12.9983,8.9099,Chez Honorable Chapiou
229,Malpe,IN,78.1,broken clouds,13.35,74.7167,Hotel Sri Krishna Residency
232,Nailsea,GB,54.52,light rain,51.4324,-2.7585,The Old Smithy
233,Teguise,ES,70.02,clear sky,29.0605,-13.564,B&B La Casona de Nazaret
234,Limenaria,GR,54.95,scattered clouds,40.6261,24.5786,Thalassies Hotel
235,Valparaiso,CL,64.04,clear sky,-33.0393,-71.6273,Hotel Ultramar
236,Manta,EC,69.58,clear sky,-0.95,-80.7333,Balandra Hotel
