City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
135,Murzzuschlag,AT,2022-11-13 04:41:54,47.6,15.6833,36.9,84,41,4.07
136,Cobija,BO,2022-11-13 04:41:55,-11.0267,-68.7692,75.87,69,98,2.89
137,Gat,IL,2022-11-13 04:41:55,31.61,34.7642,70.79,22,0,3.76
138,Tukums,LV,2022-11-13 04:41:55,56.9669,23.1553,42.15,88,17,5.5
139,Sucua,EC,2022-11-13 04:41:55,-2.4667,-78.1667,67.71,97,94,3.47
140,Lovozero,RU,2022-11-13 04:41:56,68.005,35.0117,26.24,95,99,7.02
141,Maragogi,BR,2022-11-13 04:41:56,-9.0122,-35.2225,74.98,88,3,2.21
142,Hambantota,LK,2022-11-13 04:41:56,6.1241,81.1185,79.14,100,40,3.44
143,Souillac,MU,2022-11-13 04:41:57,-20.5167,57.5167,75.58,64,40,4.61
144,Saint-Pierre,RE,2022-11-13 04:41:57,-21.3393,55.4781,81.57,61,75,6.91
145,Rocha,UY,2022-11-13 04:40:31,-34.4833,-54.3333,63.34,96,100,10.0
146,Cambridge,CA,2022-11-13 04:41:57,43.3601,-80.3127,36.16,95,100,9.22
147,Teguldet,RU,2022-11-13 04:41:57,57.3064,88.1667,32.86,97,100,9.82
148,Les Cayes,HT,2022-11-13 04:41:58,18.2,-73.75,75.6,86,30,3.71
149,Virginia Beach,US,2022-11-13 04:40:14,36.8529,-75.978,67.01,92,0,6.91
150,Asasa,ET,2022-11-13 04:41:58,7.1,39.2,55.87,74,0,4.79
151,Saint-Jean-De-Maurienne,FR,2022-11-13 04:41:59,45.1667,6.5833,36.14,50,95,3.51
152,Mazara Del Vallo,IT,2022-11-13 04:41:59,37.6641,12.588,60.55,63,100,6.08
153,Sioux Lookout,CA,2022-11-13 04:41:59,50.1001,-91.917,19.47,86,100,4.61
154,Sergeyevka,KZ,2022-11-13 04:42:00,53.88,67.4158,34.43,98,100,18.66
155,Sao Joao Da Barra,BR,2022-11-13 04:42:00,-21.6403,-41.0511,72.95,93,45,11.74
156,Grindavik,IS,2022-11-13 04:42:00,63.8424,-22.4338,44.55,87,40,20.71
157,Sayyan,YE,2022-11-13 04:42:00,15.1718,44.3244,54.36,35,0,4.76
158,Biu,NG,2022-11-13 04:42:01,10.6129,12.1946,66.2,33,10,7.7
159,Kitzingen,DE,2022-11-13 04:42:01,49.7333,10.1667,41.25,71,26,3.13
160,Waddan,LY,2022-11-13 04:42:01,29.1614,16.139,58.75,52,0,5.35
161,Surt,LY,2022-11-13 04:42:02,31.2089,16.5887,65.17,73,0,8.16
162,Terme,TR,2022-11-13 04:42:02,41.2092,36.9739,42.73,76,81,5.01
163,Hobyo,SO,2022-11-13 04:42:03,5.3505,48.5268,81.41,67,87,15.48
164,Touros,BR,2022-11-13 04:42:03,-5.1989,-35.4608,76.62,83,5,7.7
165,Sargatskoye,RU,2022-11-13 04:42:03,55.6101,73.4972,32.7,98,100,12.35
166,Pitmoaga,BF,2022-11-13 04:42:04,12.2397,-1.8767,78.42,53,25,5.7
167,Gubkinskiy,RU,2022-11-13 04:42:04,64.434,76.5026,-8.36,91,18,15.55
168,Codrington,AU,2022-11-13 04:42:04,-38.2667,141.9667,70.83,69,50,10.76
169,Laguna,US,2022-11-13 04:42:05,38.421,-121.4238,52.09,86,75,0.0
170,Keflavik,IS,2022-11-13 04:42:05,64.0049,-22.5624,44.51,87,40,20.71
171,Roald,NO,2022-11-13 04:42:05,62.5833,6.1333,53.76,87,100,1.14
172,Inhambane,MZ,2022-11-13 04:42:06,-23.865,35.3833,80.58,83,20,9.22
173,Trapani,IT,2022-11-13 04:42:06,37.8333,12.6667,58.89,94,20,4.61
174,Vagay,RU,2022-11-13 04:42:06,57.9375,69.0217,31.87,97,100,6.64
175,Mehamn,NO,2022-11-13 04:42:07,71.0357,27.8492,33.71,100,20,9.22
176,Garowe,SO,2022-11-13 04:42:07,8.4054,48.4845,75.87,55,8,14.56
177,Grand Gaube,MU,2022-11-13 04:42:07,-20.0064,57.6608,78.39,54,1,8.99
178,Sistranda,NO,2022-11-13 04:43:08,63.7256,8.834,42.76,80,74,8.12
179,Thinadhoo,MV,2022-11-13 04:43:08,0.5333,72.9333,81.86,74,79,16.93
